Name of Clinic,Address,Email,Phone,Services
Allsports Podiatry Albany Creek,Albany Creek Leisure Centre Cnr Old Northern Rd & Explorer Drive Albany Creek QLD 4035,valbanycreek@allsportspodiatry.com.au,1800366837,Sports podiatry; Digital Gait analysis; Custom Orthotics; Paediatric assessments; Footwear assessments; General podiatry care; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Seniors Footcare; Resources
My FootDr Allsports Podiatry Aspley,2/1370 Gympie Road Aspley QLD 4034,vaspley@allsportspodiatry.com.au,1800366837,NA
My FootDr Brisbane CBD,Ground Level 324 Queen Street Brisbane QLD 4000,vbrisbanecbd@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetic Footcare; Custom Footwear; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Cosmetic Nail Restoration; Footwear; Cryotherapy For Plantar Warts; Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Resources
My FootDr Brookwater,17 / L1 Brookwater Retail Village 2 Tournament Drive Brookwater QLD 4300,vbrookwater@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetic Footcare; Custom Footwear; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Shockwave Therapy; Supramalleolar Orthotics (SMOs); Footwear; Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Resources
Allsports Podiatry Calamvale,Cnr Kameruka Street & Beaudesert Road Calamvale QLD 4116,vcalamvale@allsportspodiatry.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Seniors Footcare; Resources
Allsports Podiatry Camp Hill,448 Old Cleveland Road Camp Hill QLD 4152,vcamphill@allsportspodiatry.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Seniors Footcare; Resources
My FootDr Camp Hill,50 Wyena Street (Cnr Clara & Wyena St) Camp Hill QLD 4152,vcamphill@myfootdr.com.au,1800366837,Clinical podiatry; Fungal nail infection laser treatment; Diabetic footcare; SWIFT microwave wart therapy; Cryotherapy for plantar warts; Seniors footcare; Cosmetic nail restoration; Paraffin wax bath treatment; National Disability Insurance Scheme; Video gait analysis; Shockwave therapy; Footwear; Custom foot orthotics; Custom footwear; CAM walker (moon boot); SureStep; Custom cricket shoes; Cobra9 cycling orthotics; Supramalleolar Orthotics (SMOs); Fungal Nail Diafactory Testing; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Custom Cricket Shoes; Cosmetic Nail Restoration; Shockwave Therapy; Cobra9 Cycling Orthotics; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; SWIFT Microwave Wart Therapy; Resources; Ankle-Foot Orthoses
My FootDr Cleveland,"Suite 5 & 6, Trinity Chambers Cnr Waterloo & Middle Streets Cleveland QLD 4163",vcleveland@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Paraffin wax bath treatment; Cryotherapy for plantar warts; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
My FootDr Fortitude Valley,2/455A Brunswick Street Fortitude Valley QLD 4006,vfortitudevalley@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Paraffin wax bath treatment; Cryotherapy for plantar warts; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
My FootDr Gumdale,"Eastside Village Shopping Centre Shop 20, Cnr New Cleveland & Tilley Roads Gumdale QLD 4154",vgumdale@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Paraffin wax bath treatment; Cryotherapy for plantar warts; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
